,open_GOOG,high_GOOG,low_GOOG,close_GOOG,volume_GOOG
2024-04-01 04:56:00,152.5929,152.6228,152.5929,152.6129,95
2024-04-01 04:57:00,152.6129,152.6727,152.6129,152.6727,1089
2024-04-01 04:59:00,152.6627,152.6627,152.6228,152.6328,26
2024-04-01 05:00:00,152.6328,152.6328,152.6328,152.6328,353
2024-04-01 05:01:00,152.6328,152.6627,152.6328,152.6627,252
2024-04-01 05:02:00,152.7026,152.7026,152.6328,152.6328,133
2024-04-01 05:04:00,152.6627,152.6627,152.6627,152.6627,3
2024-04-01 05:06:00,152.6627,152.6627,152.6627,152.6627,11
2024-04-01 05:07:00,152.6428,152.6627,152.6328,152.6627,118
2024-04-01 05:10:00,152.6228,152.6228,152.6228,152.6228,3
2024-04-01 05:11:00,152.6428,152.6428,152.6428,152.6428,2
2024-04-01 05:13:00,152.6228,152.6228,152.6228,152.6228,100
2024-04-01 05:14:00,152.6228,152.6228,152.5331,152.5331,600
2024-04-01 05:15:00,152.5031,152.5231,152.3734,152.3734,617
2024-04-01 05:16:00,152.5331,152.5331,152.5331,152.5331,5
2024-04-01 05:20:00,152.2039,152.2039,152.2039,152.2039,9
2024-04-01 05:21:00,152.1739,152.1739,152.1739,152.1739,1
2024-04-01 05:23:00,152.4034,152.4034,152.4034,152.4034,2
2024-04-01 05:30:00,152.3934,152.3934,152.3934,152.3934,2
2024-04-01 05:33:00,152.3734,152.3734,152.3635,152.3635,4
2024-04-01 05:41:00,152.2837,152.2837,152.2837,152.2837,30
2024-04-01 05:46:00,152.1939,152.1939,152.1939,152.1939,25
2024-04-01 05:47:00,152.1839,152.1839,152.1839,152.1839,5
2024-04-01 05:48:00,152.2238,152.4034,152.2238,152.4034,269
2024-04-01 05:49:00,152.2338,152.2338,152.2338,152.2338,1
2024-04-01 05:51:00,152.2936,152.2936,152.2936,152.2936,5
2024-04-01 05:52:00,152.2936,152.4632,152.2936,152.4433,728
2024-04-01 05:53:00,152.5929,152.5929,152.5929,152.5929,5
2024-04-01 05:56:00,152.5929,152.5929,152.5929,152.5929,10
2024-04-01 05:58:00,152.4133,152.4133,152.4133,152.4133,1
2024-04-01 06:00:00,152.5929,152.5929,152.5929,152.5929,1
2024-04-01 06:04:00,152.5929,152.5929,152.5929,152.5929,2
2024-04-01 06:05:00,152.5929,152.6228,152.5929,152.6228,80
2024-04-01 06:06:00,152.6328,152.6328,152.5031,152.5031,22
2024-04-01 06:07:00,152.5031,152.5231,152.5031,152.5231,4
2024-04-01 06:15:00,152.6228,152.6228,152.5929,152.5929,66
2024-04-01 06:21:00,152.6129,152.6129,152.6129,152.6129,140
2024-04-01 06:23:00,152.6228,152.6228,152.6228,152.6228,100
2024-04-01 06:24:00,152.6228,152.6228,152.6228,152.6228,10
2024-04-01 06:25:00,152.6129,152.6129,152.6129,152.6129,1
2024-04-01 06:26:00,152.5131,152.5131,152.5131,152.5131,10
2024-04-01 06:28:00,152.6029,152.6129,152.6029,152.6129,7
2024-04-01 06:29:00,152.6029,152.6228,152.6029,152.6228,100
2024-04-01 06:30:00,152.6228,152.6228,152.6228,152.6228,50
2024-04-01 06:33:00,152.5131,152.5131,151.8647,152.1340,8100
2024-04-01 06:34:00,152.3535,152.3535,152.3535,152.3535,7
2024-04-01 06:37:00,152.2238,152.3236,152.2238,152.3236,177
2024-04-01 06:39:00,152.1640,152.3236,152.1640,152.3236,16
2024-04-01 06:42:00,152.3236,152.3335,152.0443,152.0443,328
2024-04-01 06:43:00,152.3236,152.4732,152.0742,152.0742,125
2024-04-01 06:44:00,152.4732,152.4732,152.4732,152.4732,100
2024-04-01 06:45:00,152.4832,152.4832,152.4832,152.4832,1
2024-04-01 06:46:00,152.0842,152.0842,152.0842,152.0842,1
2024-04-01 06:50:00,152.1340,152.1340,152.1340,152.1340,1
