,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-04-01 05:21:00,422.4772,422.4772,422.4772,422.4772,28
2024-04-01 05:22:00,422.4772,422.4772,422.4772,422.4772,4
2024-04-01 05:23:00,422.4772,422.4772,422.2579,422.4772,106
2024-04-01 05:24:00,422.4672,422.4772,422.0885,422.0985,323
2024-04-01 05:25:00,422.0885,422.0985,422.0885,422.0885,9
2024-04-01 05:26:00,422.1683,422.1683,422.0885,422.1683,16
2024-04-01 05:27:00,422.1683,422.1683,421.8992,421.8992,1044
2024-04-01 05:28:00,421.8992,421.9092,421.8992,421.9092,28
2024-04-01 05:29:00,421.8992,421.9391,421.8992,421.8992,97
2024-04-01 05:30:00,421.8992,421.9391,421.5006,421.6900,1456
2024-04-01 05:31:00,421.6800,421.7497,421.6800,421.6800,13
2024-04-01 05:32:00,421.8892,421.8892,421.8892,421.8892,1
2024-04-01 05:33:00,421.6900,421.9291,421.6900,421.8992,12
2024-04-01 05:34:00,421.9291,421.9291,421.6900,421.6900,1003
2024-04-01 05:35:00,421.8992,421.8992,421.6999,421.7099,6
2024-04-01 05:36:00,421.8892,421.8892,421.8892,421.8892,1
2024-04-01 05:37:00,421.8992,421.9889,421.8992,421.8992,553
2024-04-01 05:38:00,421.8992,421.8992,421.8793,421.8793,57
2024-04-01 05:39:00,421.8992,421.8992,421.8793,421.8992,35
2024-04-01 05:40:00,421.8992,421.8992,421.8793,421.8793,12
2024-04-01 05:41:00,421.8892,421.8892,421.8892,421.8892,6
2024-04-01 05:42:00,421.8992,421.9889,421.8892,421.9889,44
2024-04-01 05:43:00,422.2380,422.6665,421.9889,422.6665,1766
2024-04-01 05:44:00,422.5569,422.5569,422.4971,422.4971,1147
2024-04-01 05:45:00,422.4971,422.4971,422.4971,422.4971,10
2024-04-01 05:46:00,422.4971,422.4971,422.4971,422.4971,3
2024-04-01 05:47:00,422.4971,422.4971,422.4971,422.4971,62
2024-04-01 05:48:00,422.5071,422.9256,422.5071,422.9256,31
2024-04-01 05:49:00,422.8658,422.8757,422.8658,422.8757,12
2024-04-01 05:50:00,422.5967,422.5967,422.5967,422.5967,13
2024-04-01 05:51:00,422.9256,423.1946,422.9056,422.9056,385
2024-04-01 05:52:00,423.1846,423.1846,423.0451,423.1647,20
2024-04-01 05:53:00,423.1647,423.1647,423.0451,423.1647,4
2024-04-01 05:54:00,423.1647,423.1647,423.0651,423.0651,13
2024-04-01 05:55:00,423.1249,423.1747,423.0551,423.1747,783
2024-04-01 05:56:00,423.1547,423.1547,422.9455,422.9455,22
2024-04-01 05:57:00,423.1547,423.1547,423.0451,423.0451,99
2024-04-01 05:58:00,422.9355,423.0252,422.9355,423.0252,22
2024-04-01 05:59:00,423.0053,423.0053,423.0053,423.0053,4
2024-04-01 06:00:00,422.9754,422.9953,422.9754,422.9953,4
2024-04-01 06:01:00,422.9056,422.9056,422.8458,422.8957,100
2024-04-01 06:02:00,422.8558,422.8558,422.7960,422.8458,135
2024-04-01 06:03:00,422.8160,422.8458,422.8160,422.8458,82
2024-04-01 06:04:00,422.9654,423.1547,422.9654,423.1547,108
2024-04-01 06:05:00,423.1348,423.1747,423.0950,423.0950,349
2024-04-01 06:06:00,423.1747,423.1747,423.1448,423.1647,16
2024-04-01 06:07:00,423.1946,423.1946,423.1946,423.1946,2
2024-04-01 06:08:00,423.1049,423.1946,423.0950,423.1946,52
2024-04-01 06:09:00,423.1547,423.1946,423.1448,423.1448,35
2024-04-01 06:11:00,423.1547,423.1547,423.1547,423.1547,2
2024-04-01 06:12:00,423.1547,423.1547,423.1547,423.1547,1
2024-04-01 06:13:00,423.1547,423.1547,423.1547,423.1547,3
2024-04-01 06:14:00,423.1547,423.1547,423.0850,423.1547,20
2024-04-01 06:15:00,423.1547,423.1547,423.1547,423.1547,4
2024-04-01 06:16:00,423.1547,423.1946,423.1547,423.1946,102
2024-04-01 06:17:00,423.1946,423.3441,423.1946,423.2046,112
2024-04-01 06:18:00,423.2145,423.2145,423.2145,423.2145,1
2024-04-01 06:19:00,423.3441,423.3441,423.2843,423.2943,5
2024-04-01 06:20:00,423.2345,423.2444,423.2145,423.2145,50
2024-04-01 06:21:00,423.3042,423.3142,423.3042,423.3042,18
2024-04-01 06:22:00,423.3341,423.3839,423.3042,423.3142,193
2024-04-01 06:23:00,423.3341,423.3341,423.3241,423.3241,25
2024-04-01 06:24:00,423.4138,423.4138,423.4138,423.4138,1
2024-04-01 06:25:00,423.3241,423.3640,423.3241,423.3341,108
2024-04-01 06:26:00,423.3740,423.4039,423.3241,423.3540,320
2024-04-01 06:27:00,423.3740,423.3939,423.2245,423.2245,74
2024-04-01 06:28:00,423.3540,423.3540,423.2345,423.2345,6
2024-04-01 06:29:00,423.2943,423.3341,423.2943,423.2943,17
2024-04-01 06:30:00,423.2743,423.2943,423.2345,423.2943,106
2024-04-01 06:31:00,423.2943,423.3142,423.2544,423.3142,47
2024-04-01 06:32:00,423.3142,423.3142,423.2345,423.2943,28
2024-04-01 06:33:00,423.2345,423.2544,423.2345,423.2544,7
2024-04-01 06:34:00,423.2544,423.2544,423.2544,423.2544,10
2024-04-01 06:35:00,423.2943,423.2943,423.2345,423.2345,53
2024-04-01 06:36:00,423.2644,423.2644,423.2046,423.2644,31
2024-04-01 06:37:00,423.1846,423.2444,423.1846,423.2245,133
2024-04-01 06:38:00,423.2444,423.2544,423.2444,423.2444,12
2024-04-01 06:39:00,423.2444,423.2843,423.2444,423.2843,77
2024-04-01 06:40:00,423.2843,423.2843,423.2245,423.2644,6
2024-04-01 06:41:00,423.2444,423.2444,423.1846,423.2444,47
2024-04-01 06:42:00,423.2444,423.2444,423.1846,423.1846,30
2024-04-01 06:43:00,423.2245,423.2245,423.1946,423.2245,15
2024-04-01 06:44:00,423.2245,423.2644,423.1946,423.2544,95
2024-04-01 06:45:00,423.2644,423.2743,423.2245,423.2644,11
2024-04-01 06:46:00,423.2644,423.2644,423.2644,423.2644,2
2024-04-01 06:47:00,423.2544,423.2544,423.2145,423.2544,3
2024-04-01 06:48:00,423.1946,423.1946,423.1946,423.1946,37
2024-04-01 06:49:00,423.1747,423.1946,422.9156,423.0950,343
2024-04-01 06:50:00,423.0053,423.1647,423.0053,423.0152,9
2024-04-01 06:51:00,423.1747,423.1747,423.1747,423.1747,1
2024-04-01 06:52:00,423.1647,423.1647,423.1448,423.1448,7
2024-04-01 06:53:00,423.1448,423.1448,423.1149,423.1149,15
2024-04-01 06:54:00,423.0352,423.1049,422.9953,422.9953,205
2024-04-01 06:55:00,422.9953,423.0152,422.9953,422.9953,16
2024-04-01 06:56:00,422.9953,423.0352,422.9953,422.9953,4
2024-04-01 06:57:00,422.9953,423.1249,422.9355,422.9953,106
