date,ticker,embedding_distance,finbert
2024-04-01 12:02:00,ORCL,9.2431135,"[3.304565191268921, 1.3400572538375854, -6.300769329071045]"
2024-04-01 12:02:00,ORCL,9.75211,"[7.4002299308776855, -6.0687432289123535, -3.308053731918335]"
2024-04-01 12:02:00,ORCL,9.608063,"[4.798973083496094, -5.50200080871582, -2.50998592376709]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,9.608063,"[4.798973083496094, -5.50200080871582, -2.50998592376709]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,9.411621,"[8.532081604003906, -5.883473873138428, -3.245513916015625]"
2024-04-01 12:02:00,ORCL,10.42529,"[2.857837200164795, -2.01676607131958, -0.17568987607955933]"
2024-04-01 12:02:00,ORCL,10.458179,"[2.7887375354766846, -3.304792642593384, -3.5668649673461914]"
2024-04-01 12:02:00,ORCL,9.170602,"[3.6865463256835938, -3.3298282623291016, -3.6140620708465576]"
2024-04-01 12:02:00,ORCL,9.799396,"[4.529792785644531, -4.696249008178711, -1.882466197013855]"
2024-04-01 12:02:00,ORCL,10.767424,"[5.9163432121276855, -4.797576904296875, -4.330442428588867]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,9.920491,"[6.627659320831299, -3.5302574634552, -5.596078395843506]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.100737,"[-4.566003322601318, 8.833878517150879, -8.185059547424316]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.045801,"[4.674453258514404, -5.219736099243164, -2.6967506408691406]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,9.45131,"[4.862388610839844, -5.430400848388672, -3.9372611045837402]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,9.799396,"[4.529792785644531, -4.696249008178711, -1.882466197013855]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,8.26328,"[3.118586301803589, -5.5191264152526855, -1.3650901317596436]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,9.265664,"[-2.649320602416992, 8.087777137756348, -7.767358779907227]"
2024-04-01 12:02:00,ORCL,10.830885,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:02:00,ORCL,8.308789,"[7.379695415496826, -3.3664941787719727, -5.190725803375244]"
2024-04-01 12:02:00,ORCL,9.476366,"[-3.78183650970459, 9.210570335388184, -8.425849914550781]"
2024-04-01 12:02:00,ORCL,8.258359,"[5.482269287109375, -4.795042514801025, -4.695130348205566]"
2024-04-01 12:02:00,ORCL,8.180063,"[4.869643688201904, -3.415797233581543, -3.8083298206329346]"
2024-04-01 12:02:00,ORCL,8.412799,"[4.947526454925537, -4.598054885864258, -3.780609607696533]"
2024-04-01 12:02:00,ORCL,7.941159,"[5.169947147369385, -3.609860897064209, -4.771643161773682]"
2024-04-01 12:02:00,ORCL,10.407673,"[-7.048573970794678, 11.794663429260254, -5.735219955444336]"
2024-04-01 12:02:00,ORCL,10.278972,"[-4.429555416107178, 9.9126615524292, -6.950879096984863]"
2024-04-01 12:02:00,ORCL,9.777917,"[4.717052459716797, -3.495614528656006, -2.6977462768554688]"
2024-04-01 12:02:00,ORCL,10.182451,"[4.450185298919678, -4.3427042961120605, -1.52261483669281]"
2024-04-01 12:02:00,ORCL,9.047801,"[5.849140644073486, -2.2209832668304443, -3.267655849456787]"
2024-04-01 12:02:00,ORCL,9.969994,"[6.230456829071045, -4.844571590423584, -1.4754143953323364]"
2024-04-01 12:02:00,ORCL,9.716116,"[-0.9157307147979736, 5.586187362670898, -7.1819047927856445]"
